piA piG piC piT TT_ratio perturbation RootInferenceParamRateMatrix[0,1] RootInferenceParamRateMatrix[0,2] RootInferenceParamRateMatrix[0,3] RootInferenceParamRateMatrix[1,0] RootInferenceParamRateMatrix[1,2] RootInferenceParamRateMatrix[1,3] RootInferenceParamRateMatrix[2,0] RootInferenceParamRateMatrix[2,1] RootInferenceParamRateMatrix[2,3] RootInferenceParamRateMatrix[3,0] RootInferenceParamRateMatrix[3,1] RootInferenceParamRateMatrix[3,2] StatPiA StatPiG StatPiC StatPiT gammaShape treeState LogLikelihood
0.2600000 0.2600000 0.2400000 0.2400000 1.1811119 0.1025170 0.2877387 0.2775898 0.2344910 0.3189407 0.2943129 0.3104398 0.3108606 0.1855399 0.4296098 0.2939327 0.2599950 0.2969749 0.2772495 0.2111777 0.2379736 0.2735992 0.7236062 ((Gorilla:0.0695095,(Homo_sapiens:0.1047117,Tarsius_syrichta:0.2007873):0.0227935):0.0329138,((Hylobates:0.1607703,(M_fascicularis:0.1862283,Saimiri_sciureus:0.1581908):0.0885189):0.0065870,((M_sylvanus:0.1372445,(M_mulatta:0.0415323,Macaca_fuscata:0.0394257):0.0521911):0.0607479,(Pan:0.1939529,(Lemur_catta:0.0824685,Pongo:0.1278083):0.0175879):0.0095213):0.0318171):0.0125218); -6948.3011781
0.2600000 0.2600000 0.2400000 0.2400000 1.2965746 0.5269496 0.2868002 0.2775898 0.2344910 0.3893778 0.2943129 0.3237276 0.2596697 0.1788688 0.4889028 0.2939327 0.2413329 0.3413469 0.2778727 0.1909720 0.2479913 0.2831641 0.6669263 ((Gorilla:0.0677380,(Homo_sapiens:0.0850106,Tarsius_syrichta:0.2007873):0.0201515):0.0329138,((Hylobates:0.1638635,(M_fascicularis:0.1855779,Saimiri_sciureus:0.1581908):0.0843977):0.0057060,((M_sylvanus:0.1372445,(M_mulatta:0.0415323,Macaca_fuscata:0.0353181):0.0574599):0.0626618,(Pan:0.1939529,(Lemur_catta:0.0824685,Pongo:0.1380989):0.0175879):0.0064227):0.0318171):0.0125218); -6867.6772069
0.2600000 0.2600000 0.2400000 0.2400000 1.2965746 0.4291389 0.2869942 0.2962627 0.2358704 0.4277513 0.3104525 0.3457552 0.2610633 0.1615059 0.4889028 0.2939327 0.2413329 0.4018580 0.2771333 0.1752927 0.2715017 0.2760723 0.6606761 (Pongo:0.0782287,(Lemur_catta:0.1084519,(Pan:0.1939529,((M_sylvanus:0.0455887,(M_mulatta:0.0085537,Macaca_fuscata:0.0157421):0.0509573):0.0702472,((Gorilla:0.0623140,(Homo_sapiens:0.0850106,Tarsius_syrichta:0.2007873):0.0197947):0.0454355,(Hylobates:0.1685112,(M_fascicularis:0.1855779,Saimiri_sciureus:0.1581908):0.0843977):0.0061685):0.0016089):0.0060648):0.0334816):0.0598702); -6771.1513510
0.2600000 0.2600000 0.2400000 0.2400000 1.3612347 0.3120016 0.3350390 0.3276959 0.2099845 0.4954766 0.4141751 0.3800688 0.2819645 0.1577629 0.4889028 0.3368583 0.2476403 0.4080147 0.2864317 0.1604823 0.2887809 0.2643051 0.5576818 ((M_sylvanus:0.0470175,(M_mulatta:0.0104733,Macaca_fuscata:0.0157421):0.0492265):0.0519218,((Gorilla:0.0623140,(Homo_sapiens:0.0692370,Tarsius_syrichta:0.2184978):0.0193114):0.0525993,((Hylobates:0.1685112,(M_fascicularis:0.1855779,Saimiri_sciureus:0.1852165):0.0440862):0.0059413,(Pan:0.1939529,(Lemur_catta:0.1084519,Pongo:0.1470870):0.0343258):0.0060648):0.0016045):0.1056493); -6697.2939912
0.2600000 0.2600000 0.2400000 0.2400000 1.4994077 0.3893204 0.3350390 0.3102535 0.1988261 0.6130813 0.4926679 0.3735420 0.2988318 0.1329208 0.4889028 0.3317429 0.2182366 0.4282788 0.3060356 0.1346847 0.2971465 0.2621332 0.5323698 ((M_sylvanus:0.0470175,(M_mulatta:0.0267983,Macaca_fuscata:0.0157421):0.0492265):0.0606409,(((Gorilla:0.0385472,Pan:0.1939529):0.0233469,(Homo_sapiens:0.0472710,Tarsius_syrichta:0.2547411):0.0193114):0.0525993,((Hylobates:0.1685112,(Lemur_catta:0.1147435,Pongo:0.1470870):0.0244405):0.0116693,(M_fascicularis:0.1855779,Saimiri_sciureus:0.2000103):0.0440862):0.0014356):0.1032503); -6559.7202432
0.2600000 0.2600000 0.2400000 0.2400000 1.9339001 0.3893204 0.3408110 0.3007574 0.2050258 0.6772353 0.5818111 0.3735420 0.3009088 0.1266469 0.4889028 0.2809522 0.1972041 0.4775564 0.2965299 0.1189438 0.3138637 0.2706626 0.4818891 ((M_sylvanus:0.0470175,(M_mulatta:0.0267983,Macaca_fuscata:0.0157421):0.0439521):0.0696651,(((Gorilla:0.0385472,Pan:0.0889564):0.0205202,(Homo_sapiens:0.0472710,Tarsius_syrichta:0.2516838):0.0154727):0.0508011,((Hylobates:0.1351917,(Lemur_catta:0.1168731,Pongo:0.1340482):0.0267548):0.0139953,(M_fascicularis:0.2128634,Saimiri_sciureus:0.2273413):0.0440862):0.0014356):0.1026423); -6490.5393422
0.2600000 0.2600000 0.2400000 0.2400000 1.9339001 0.3899071 0.3408110 0.2847476 0.1966639 0.7418344 0.4750029 0.3691528 0.2910584 0.1188974 0.5790439 0.2389230 0.1698039 0.5653893 0.2953694 0.1166753 0.3036244 0.2843309 0.4343361 ((M_sylvanus:0.0470175,(M_mulatta:0.0258150,Macaca_fuscata:0.0150374):0.0606007):0.0696651,(((Gorilla:0.0512616,Pan:0.0889564):0.0097138,(Homo_sapiens:0.0532085,Tarsius_syrichta:0.2808280):0.0210034):0.0508011,((Hylobates:0.1351917,(Lemur_catta:0.1398012,Pongo:0.1293587):0.0376062):0.0145765,(M_fascicularis:0.2128634,Saimiri_sciureus:0.2273413):0.0432277):0.0015176):0.1031510); -6401.5614494
0.2600000 0.2600000 0.2400000 0.2400000 1.9339001 0.3649019 0.3302085 0.2481401 0.1670096 0.7418344 0.4421177 0.3691528 0.2900880 0.1203773 0.6013383 0.2233867 0.1698039 0.5877313 0.3145132 0.1195247 0.2897848 0.2761773 0.4873995 ((M_sylvanus:0.0470175,(M_mulatta:0.0272418,Macaca_fuscata:0.0132472):0.0716289):0.0628513,((Gorilla:0.0512616,(Pan:0.0918413,(Homo_sapiens:0.0449443,Tarsius_syrichta:0.2808280):0.0187313):0.0097223):0.0508011,((Hylobates:0.1351917,(Lemur_catta:0.2033545,Pongo:0.1258651):0.0389858):0.0145765,(M_fascicularis:0.2128634,Saimiri_sciureus:0.2433938):0.0432277):0.0016647):0.1127075); -6357.5194342
0.2600000 0.2600000 0.2400000 0.2400000 1.9339001 0.3762160 0.3302085 0.2411968 0.1533503 1.0222460 0.4540245 0.3747075 0.2483966 0.1233350 0.6013383 0.2264091 0.1607843 0.6979319 0.3305523 0.1019440 0.3124426 0.2550610 0.4300226 ((M_sylvanus:0.0518004,(M_mulatta:0.0250719,Macaca_fuscata:0.0132472):0.0716289):0.0631753,((Gorilla:0.0512616,(Pan:0.0866628,(Homo_sapiens:0.0366636,Tarsius_syrichta:0.2927729):0.0227598):0.0097223):0.1404508,(M_fascicularis:0.2158997,(Saimiri_sciureus:0.2532794,(Hylobates:0.1160051,(Lemur_catta:0.2208986,Pongo:0.1346001):0.0313008):0.0143582):0.0499284):0.0016647):0.0532189); -6302.8671534
0.3518280 0.2151021 0.2308186 0.2022513 3.1441508 0.4427199 0.3769279 0.2377852 0.1348536 1.0222460 0.4185522 0.3634107 0.2112478 0.1058506 0.6295174 0.2310566 0.1607843 0.7082553 0.3160361 0.1076614 0.3192877 0.2570149 0.4916447 ((M_sylvanus:0.0518004,(M_mulatta:0.0266768,Macaca_fuscata:0.0132472):0.0677353):0.0726914,(M_fascicularis:0.2158997,((Gorilla:0.0527588,(Pan:0.0866628,(Homo_sapiens:0.0366636,Tarsius_syrichta:0.2927729):0.0236608):0.0105750):0.1475771,(Saimiri_sciureus:0.2566795,(Hylobates:0.1217444,(Lemur_catta:0.2208986,Pongo:0.1396309):0.0313008):0.0143582):0.0499284):0.0017464):0.0728692); -6288.8475676
